TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Other Theft,2022,1,26,11,52,11XX W CORDOVA ST,Central Business District,491279.2341,5459555.4961
Other Theft,2022,5,23,0,30,11XX W GEORGIA ST,Central Business District,490952.728,5459324.1684
Other Theft,2022,3,19,16,30,11XX W GEORGIA ST,West End,490993.2104,5459271.4375
Other Theft,2022,6,15,12,30,11XX W GEORGIA ST,Central Business District,490997.9348,5459279.6198
Other Theft,2022,3,12,0,0,11XX W HASTINGS ST,Central Business District,491115.8189,5459544.4939
Other Theft,2022,5,22,23,16,11XX W PENDER ST,Central Business District,491035.8752,5459521.2951
Other Theft,2022,6,14,2,51,11XX W PENDER ST,Central Business District,491035.8752,5459521.2951
Other Theft,2022,6,15,8,5,11XX W PENDER ST,Central Business District,491035.8752,5459521.2951
Other Theft,2022,4,6,20,0,11XX WOLFE AVE,Shaughnessy,490434.1759,5456020.735
Other Theft,2022,4,26,12,53,12XX BARCLAY ST,West End,490568.5327,5459141.9334
